User,Date,Column,Column_Hours,Beam,Beam_Hours,Floor,Floor_Hours,Wall,Wall_Hours,Stair,Stair_Hours,Trade
User_ A,3-Nov-2023,200,8,0,0,0,0,0,0,0,0,Structure
User_ B,3-Nov-2023,50,8,0,0,0,0,0,0,0,0,Structure
User_ C,3-Nov-2023,500,8,0,0,0,0,0,0,0,0,Structure
User_ D,3-Nov-2023,75,8,0,0,0,0,0,0,0,0,Structure
User_ E,3-Nov-2023,250,8,0,0,0,0,0,0,0,0,Structure
User_ F,3-Nov-2023,220,8,0,0,0,0,0,0,0,0,Structure
User_ G,3-Nov-2023,100,8,0,0,0,0,0,0,0,0,Structure
User_ H,3-Nov-2023,51,8,0,0,0,0,0,0,0,0,Structure
User_ I,3-Nov-2023,120,8,0,0,0,0,0,0,0,0,Structure
User_ J,3-Nov-2023,300,8,0,0,0,0,0,0,0,0,Structure
User_ K,3-Nov-2023,111,8,0,0,0,0,0,0,0,0,Structure
